HLA-A	1	6	29942554	29942626
HLA-A	2	6	29942757	29943026
HLA-A	3	6	29943268	29943543
HLA-A	4	6	29944122	29944397
HLA-B	1	6	31357086	31357158
HLA-B	2	6	31356688	31356957
HLA-B	3	6	31356167	31356442
HLA-B	4	6	31355317	31355592
HLA-C	1	6	31271999	31272071
HLA-C	2	6	31271599	31271868
HLA-C	3	6	31271073	31271348
HLA-C	4	6	31270210	31270485
HLA-DQA1	1	6	32637459	32637540
HLA-DQA1	2	6	32641310	32641558
HLA-DQA1	3	6	32641972	32642253
HLA-DQA1	4	6	32642610	32642764
HLA-DQB1	1	6	32666499	32666607
HLA-DQB1	2	6	32664798	32665067
HLA-DQB1	3	6	32661967	32662248
HLA-DQB1	4	6	32661347	32661457
HLA-DRB1	2	6	32584109	32584378

